dataset_id,stage_label,split,path_id,path_kind,adaptive_support_count,spline_length_px,chord_length_px,sinuosity,total_turning_angle_deg,mean_abs_curvature_per_px,skeleton_path_length_px,length_normalized_bbox_diag,spline_to_skeleton_median_error_px,divergence_angle_deg,physical_unit_status
stagev3_0002,gt2,test,path_01,main_axis,14,355.6813214382219,318.0770346944274,1.118223834612645,427.6338404790787,0.020984004667797772,377.651803615609,0.8074121553364557,0.7093775886864593,0.0,not_available_no_scale_reference
stagev3_0003,gt2,test,path_01,main_axis,13,426.68943559464043,411.8859065323794,1.035940848733792,210.25010496904144,0.008600064304989219,460.51681066681454,1.0002359195054866,0.90869419011944,0.0,not_available_no_scale_reference
stagev3_0003,gt2,test,path_02,lateral_branch,2,17.720045146669356,17.72004514666935,1.0000000000000004,0.0,0.0,19.071067811865476,0.04153893715755308,0.8752800586148934,30.287952990666017,not_available_no_scale_reference
stagev3_0004,gt2,test,path_01,main_axis,13,323.41706417174566,278.9283062007153,1.1594988998320466,288.97070175391997,0.015594384916951035,345.29141392239836,0.7934853227550864,0.5832072546522293,0.0,not_available_no_scale_reference
stagev3_0004,gt2,test,path_02,lateral_branch,4,90.1880176066233,89.67719888578145,1.0056961939845206,31.98049903125099,0.00618890423959375,94.38477631085023,0.22127115785464724,0.467473275742039,74.74488129694222,not_available_no_scale_reference
stagev3_0009,gt2,val,path_01,main_axis,12,445.14621387320597,418.8961685191212,1.0626648017499987,266.21611099209156,0.010437801140076901,470.8772003600253,0.9869015630432119,0.9251652267948712,0.0,not_available_no_scale_reference
stagev3_0009,gt2,val,path_02,lateral_branch,4,171.91033769204725,151.71684151734772,1.1330998982890805,118.95774129741136,0.012077250759024636,183.29646455628168,0.38113001005977964,1.5246862635962413,38.8844964337146,not_available_no_scale_reference
stagev3_0009,gt2,val,path_03,lateral_branch,2,22.36067977499789,22.360679774997898,0.9999999999999997,4.3467057710126394e-05,3.392755859078815e-08,23.65685424949238,0.0495742502865359,0.4472292536910603,5.11041756103123,not_available_no_scale_reference
stagev3_0009,gt2,val,path_04,lateral_branch,4,22.39224572950722,21.400934559032695,1.046320929010837,55.86024396633958,0.04353941047079504,24.14213562373095,0.04964423288747313,0.3444527999360248,54.76177477504224,not_available_no_scale_reference
stagev3_0011,leaf1_to_2,test,path_01,main_axis,11,374.37946121067125,365.8756619399547,1.0232423201522274,154.53233533125106,0.007204182739096841,394.92388155425124,0.9719127031273539,0.7986440203762648,0.0,not_available_no_scale_reference
stagev3_0011,leaf1_to_2,test,path_02,lateral_branch,3,186.90887673241684,183.412104289766,1.0190651127208399,48.77351365013283,0.004554403278448338,200.02438661763955,0.48522723718884037,8.247507895702494,48.01278750418334,not_available_no_scale_reference
stagev3_0011,leaf1_to_2,test,path_03,lateral_branch,4,74.93143418401748,74.33034373659252,1.0080867438142767,47.517702178790884,0.011067989890134501,81.18376618407356,0.19452673101107074,0.5072755159938375,64.82246457036521,not_available_no_scale_reference
stagev3_0015,leaf1_to_2,test,path_01,main_axis,9,329.3651606512541,161.55494421403512,2.0387191630291213,236.24549297912995,0.012518815552106467,353.0193359837562,0.9317866419884783,0.8100180764710669,0.0,not_available_no_scale_reference
stagev3_0015,leaf1_to_2,test,path_02,lateral_branch,2,57.30619512757761,57.30619512757761,1.0,0.00018953774946785384,5.772600637103255e-08,61.597979746446654,0.16212141872406843,0.5703436895074389,109.24952587268173,not_available_no_scale_reference
stagev3_0018,leaf1_to_2,val,path_01,main_axis,11,422.5177273727717,373.14876389986875,1.132303703640703,201.58265062157892,0.008326942848340887,445.730014102411,0.9833708355594398,0.8538431843811509,0.0,not_available_no_scale_reference
stagev3_0018,leaf1_to_2,val,path_02,lateral_branch,2,32.01562118716425,32.01562118716424,1.0000000000000002,7.485993272299547e-05,4.08098376789122e-08,35.142135623730944,0.07451338989618235,1.5153589240871503,14.788677614165183,not_available_no_scale_reference
stagev3_0018,leaf1_to_2,val,path_03,lateral_branch,2,33.541019662496836,33.54101966249684,0.9999999999999998,0.0,0.0,35.48528137423857,0.07806361341597677,0.4492796550810347,15.499275376500837,not_available_no_scale_reference
stagev3_0019,leaf1_to_2,val,path_01,main_axis,8,390.3993166016102,364.01785670486004,1.0724729828793533,203.00957225739515,0.009075798287251071,413.2914139223983,0.9994022434669901,1.2579849921507045,0.0,not_available_no_scale_reference
stagev3_0019,leaf1_to_2,val,path_02,lateral_branch,3,40.88107142478327,40.024992192379,1.0213886170992752,38.05017550352562,0.016244702507860802,43.556349186104036,0.10465344779011365,0.2663483805846917,28.61045966596522,not_available_no_scale_reference
stagev3_0027,lt1_needle,val,path_01,main_axis,7,374.87152959645175,374.58910822393113,1.0007539497714166,16.518422231297922,0.0007690657529557718,386.01219330881975,0.9918138654734674,0.7996563176376467,0.0,not_available_no_scale_reference
stagev3_0028,lt1_needle,val,path_01,main_axis,7,368.1838933472711,367.2301730522698,1.002597064089463,57.32694657851111,0.0027175115098427285,377.3553390593274,0.99550618121798,0.6590873530744237,0.0,not_available_no_scale_reference
stagev3_0030,lt1_needle,test,path_01,main_axis,8,240.4442703029341,235.6692597688549,1.0202614907806073,107.01050946959177,0.007767644960422066,252.1837661840736,0.8626445278518557,0.45712020547969157,0.0,not_available_no_scale_reference
