epoch,global_step,train_loss,validation_loss,validation_pseudo_label_f1,elapsed_seconds
1,46,2.91248521986215,0.7625539170371162,0.0,4.076288461685181
2,92,0.6579308652359507,0.5565328366226621,0.0,5.36099910736084
3,138,0.5290189210487448,0.4792090687486861,0.0,6.710618019104004
4,184,0.4682555535565252,0.42968753973642987,0.0,8.020351886749268
5,230,0.4250759534213854,0.39706533153851825,0.03127199597787833,9.446383237838745
6,276,0.3964016826256462,0.3654150317112605,0.03998240321769733,10.769859552383423
7,322,0.3798460876164229,0.36117799083391827,0.17232963115316058,12.125638246536255
8,368,0.36511310740657477,0.34827540318171185,0.10434663375839846,13.445172786712646
9,414,0.3600265500338181,0.33836638430754346,0.19887106357694592,14.762682676315308
10,460,0.35211422326772107,0.33459045324060654,0.3048859637094931,16.05846333503723
11,506,0.346387821695079,0.3365153819322586,0.296056231350349,17.348795890808105
12,552,0.33680096981318103,0.3384211129612393,0.33375153297298626,18.584794282913208
13,598,0.33322317056033923,0.3279743144909541,0.29158529379117615,19.836888313293457
14,644,0.3294997043583704,0.3300182024637858,0.3706744140135143,21.13149857521057
15,690,0.3367267267211624,0.3326340698533588,0.2690162106252072,22.381187200546265
16,736,0.3342277559897174,0.31584492325782776,0.3399573609781222,23.597986698150635
17,782,0.32533585604118265,0.31547126670678455,0.3733692105664424,24.93106961250305
18,828,0.3152009747598482,0.31359586119651794,0.45041494453259157,26.25360345840454
19,874,0.31442651735699695,0.31503230498896706,0.3645470542529366,27.59132671356201
20,920,0.31089046824237576,0.31793780956003403,0.46234794617147557,28.83448815345764
21,966,0.3112442778504413,0.3082973212003708,0.4719560668090081,30.071017265319824
22,1012,0.3241763289855874,0.32516737778981525,0.5088147146970677,31.399064540863037
23,1058,0.32072831917068234,0.2972145163350635,0.46282067605597016,32.62436008453369
24,1104,0.3104239715182263,0.2961437122689353,0.5327565408447762,33.942830324172974
25,1150,0.29945816844701767,0.29478198952145046,0.5378298988593107,35.25717496871948
