split,new_split_role,source_frame_id,source_path,source_name,source_relative_path,split_group,acquisition_period,campaign,candidate_index,candidate_orientation,candidate_box_thumbnail,crop_box_full,normalizer_foreground_fraction,output_dhash64_foreground_crop,output_phash64_foreground_crop,nearest_legacy_id,nearest_legacy_dhash_distance,nearest_legacy_phash_distance,keypoint_labels_used,model_outputs_used_for_selection,quality_tier,background_operation,quality_original_width,quality_original_height,quality_mode,quality_alpha_present,quality_transparent_fraction,quality_white_fraction,quality_border_white_fraction,quality_border_rgb_std,quality_black_fraction,quality_nonwhite_fraction,quality_strict_green_fraction,quality_green_to_nonwhite_ratio,quality_green_components,quality_green_bbox_fraction,quality_green_bbox_touches_border,quality_blur_laplacian_thumbnail,quality_background_class,quality_clean_background_score,quality_significant_green_components,quality_second_to_first_green_area_ratio,quality_secondary_to_first_green_area_ratio,quality_raw_green_pixels,quality_standardized_green_pixels,quality_green_preservation_ratio,reason
test,test,src_0404,D:\kp\数据集图片\..秧苗素质-扫描系统采集\传感器A1-B4 苗\A2-10-土-0417\0511\100097.tif,100097.tif,..秧苗素质-扫描系统采集\传感器A1-B4 苗\A2-10-土-0417\0511\100097.tif,scanner_directory::..秧苗素质-扫描系统采集\传感器a1-b4 苗\a2-10-土-0417\0511,0511,传感器a1-b4 苗,7,horizontal,"[48, 809, 620, 866]","[47, 4665, 3961, 5384]",0.04230654761904762,0000010306ce5830,ebc89ca7ac29621e,stagev3_0034,9,18,0,0,V4_scanner_crop_pixel_QC,shoot_only_standardization_scanner_crop,1600,294,RGB,0,0.0,0.9482214095744681,1.0,0.0,0.0,0.049222905585106384,0.030585106382978722,0.6213592233009708,8,0.33820229388297873,0,504.02381150265956,white_removed_candidate,8.896443,5,0.306860580217772,0.3121145206731135,21343,17232,0.8073841540551937,significant_disconnected_shoot_or_second_seedling
test,test,src_0404,D:\kp\数据集图片\..秧苗素质-扫描系统采集\传感器A1-B4 苗\A2-10-土-0417\0511\100097.tif,100097.tif,..秧苗素质-扫描系统采集\传感器A1-B4 苗\A2-10-土-0417\0511\100097.tif,scanner_directory::..秧苗素质-扫描系统采集\传感器a1-b4 苗\a2-10-土-0417\0511,0511,传感器a1-b4 苗,8,horizontal,"[64, 951, 609, 1057]","[155, 5355, 3883, 6691]",0.05574389179755672,4020b04f360c0304,ba8ec6b16c47b198,stagev3_0010,16,18,0,0,V4_scanner_crop_pixel_QC,shoot_only_standardization_scanner_crop,1600,573,RGB,0,0.0,0.9336364412568307,1.0,0.0,0.0,0.06387679303278689,0.04380122950819672,0.6857142857142856,4,0.48636014344262296,0,529.3134818989071,white_removed_candidate,8.867273,4,0.6330092892633398,0.8092892633398142,47350,41876,0.8843928194297782,significant_disconnected_shoot_or_second_seedling
test,test,src_0404,D:\kp\数据集图片\..秧苗素质-扫描系统采集\传感器A1-B4 苗\A2-10-土-0417\0511\100097.tif,100097.tif,..秧苗素质-扫描系统采集\传感器A1-B4 苗\A2-10-土-0417\0511\100097.tif,scanner_directory::..秧苗素质-扫描系统采集\传感器a1-b4 苗\a2-10-土-0417\0511,0511,传感器a1-b4 苗,1,horizontal,"[92, 138, 743, 258]","[278, 431, 4732, 1944]",0.0,0000000000000000,8000000000000000,stagev3_0019,11,31,0,0,V4_scanner_crop_pixel_QC,shoot_only_standardization_scanner_crop,1600,544,RGB,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1.0,1,0.0,white_removed_candidate,2.5,0,1.0,1.0,52478,0,0.0,green_fraction_too_small;shoot_touches_crop_border;blur_below_threshold;foreground_bbox_too_large;significant_disconnected_shoot_or_second_seedling;shoot_structure_lost_during_standardization
test,test,src_0404,D:\kp\数据集图片\..秧苗素质-扫描系统采集\传感器A1-B4 苗\A2-10-土-0417\0511\100097.tif,100097.tif,..秧苗素质-扫描系统采集\传感器A1-B4 苗\A2-10-土-0417\0511\100097.tif,scanner_directory::..秧苗素质-扫描系统采集\传感器a1-b4 苗\a2-10-土-0417\0511,0511,传感器a1-b4 苗,2,horizontal,"[237, 291, 628, 324]","[1257, 1636, 3933, 2053]",0.05844879518072289,0051070408080818,e26adb9696a46561,stagev3_0101,12,16,0,0,V4_scanner_crop_pixel_QC,shoot_only_standardization_scanner_crop,1600,249,RGB,0,0.0,0.9283203125,0.9948805460750854,9.750134468078613,0.0,0.0691162109375,0.0491455078125,0.7110561638996821,5,0.636669921875,1,667.8244625473023,white_removed_candidate,8.143842,3,0.13096921570760361,0.14396823670183836,31110,21033,0.6760848601735776,shoot_touches_crop_border;significant_disconnected_shoot_or_second_seedling
test,test,src_0629,D:\kp\数据集图片\..秧苗素质-扫描系统采集\扫描仪9.5\9.19-5.17\062500033.tif,062500033.tif,..秧苗素质-扫描系统采集\扫描仪9.5\9.19-5.17\062500033.tif,scanner_directory::..秧苗素质-扫描系统采集\扫描仪9.5\9.19-5.17,9.19-5.17,扫描仪9.5,1,horizontal,"[319, 454, 797, 647]","[1712, 2086, 4982, 4519]",0.016938025210084032,c000402030100960,be8543709c6f8378,stagev3_0099,11,12,0,0,V4_scanner_crop_pixel_QC,shoot_only_standardization_scanner_crop,1600,1190,RGB,0,0.0,0.9796895505249343,0.9901120123599846,15.001983642578125,0.0,0.019731176181102362,0.016701525590551183,0.8464536243180047,5,0.5687746062992126,1,216.88958794590022,white_removed_candidate,8.234659,4,0.4096631668962896,0.5069124423963134,47406,31719,0.6690925199341855,shoot_touches_crop_border;significant_disconnected_shoot_or_second_seedling
test,test,src_0629,D:\kp\数据集图片\..秧苗素质-扫描系统采集\扫描仪9.5\9.19-5.17\062500033.tif,062500033.tif,..秧苗素质-扫描系统采集\扫描仪9.5\9.19-5.17\062500033.tif,scanner_directory::..秧苗素质-扫描系统采集\扫描仪9.5\9.19-5.17,9.19-5.17,扫描仪9.5,4,horizontal,"[3, 1374, 844, 1398]","[0, 8147, 5087, 8387]",0.0,0000000000000000,8000000000000000,stagev3_0019,11,31,0,0,V4_scanner_crop_pixel_QC,shoot_only_standardization_scanner_crop,1600,75,RGB,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1.0,1,0.0,white_removed_candidate,2.5,0,1.0,1.0,9133,0,0.0,green_fraction_too_small;shoot_touches_crop_border;blur_below_threshold;foreground_bbox_too_large;significant_disconnected_shoot_or_second_seedling;shoot_structure_lost_during_standardization
test,test,src_0633,D:\kp\数据集图片\..秧苗素质-扫描系统采集\扫描仪9.5\9.7-5.5\062500004.tif,062500004.tif,..秧苗素质-扫描系统采集\扫描仪9.5\9.7-5.5\062500004.tif,scanner_directory::..秧苗素质-扫描系统采集\扫描仪9.5\9.7-5.5,9.7-5.5,扫描仪9.5,5,horizontal,"[466, 356, 672, 390]","[2708, 2023, 4118, 2452]",0.04688951710228306,8080603809030808,e9948469729ccd67,stagev3_0006,6,18,0,0,V4_scanner_crop_pixel_QC,shoot_only_standardization_scanner_crop,1410,429,RGB,0,0.0,0.9458759014423077,0.992505081300813,12.57404613494873,0.0,0.05278445512820513,0.04393279246794872,0.8323055028462999,3,0.6128555689102564,1,329.8768638857567,white_removed_candidate,8.173015,3,0.05013982433337272,0.07416597739178385,43595,27272,0.6255763275605001,shoot_touches_crop_border;significant_disconnected_shoot_or_second_seedling
test,test,src_0633,D:\kp\数据集图片\..秧苗素质-扫描系统采集\扫描仪9.5\9.7-5.5\062500004.tif,062500004.tif,..秧苗素质-扫描系统采集\扫描仪9.5\9.7-5.5\062500004.tif,scanner_directory::..秧苗素质-扫描系统采集\扫描仪9.5\9.7-5.5,9.7-5.5,扫描仪9.5,17,horizontal,"[0, 1385, 848, 1398]","[0, 8213, 5087, 8387]",0.0,0000000000000000,8000000000000000,stagev3_0019,11,31,0,0,V4_scanner_crop_pixel_QC,shoot_only_standardization_scanner_crop,1600,55,RGB,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1.0,1,0.0,white_removed_candidate,2.5,0,1.0,1.0,16138,0,0.0,green_fraction_too_small;shoot_touches_crop_border;blur_below_threshold;foreground_bbox_too_large;significant_disconnected_shoot_or_second_seedling;shoot_structure_lost_during_standardization
test,test,src_0633,D:\kp\数据集图片\..秧苗素质-扫描系统采集\扫描仪9.5\9.7-5.5\062500004.tif,062500004.tif,..秧苗素质-扫描系统采集\扫描仪9.5\9.7-5.5\062500004.tif,scanner_directory::..秧苗素质-扫描系统采集\扫描仪9.5\9.7-5.5,9.7-5.5,扫描仪9.5,12,horizontal,"[524, 731, 667, 752]","[3059, 4289, 4086, 4608]",0.07701159599893777,6060380f03010000,8e1f97c2e1b0d8cc,stagev3_0062,13,16,0,0,V4_scanner_crop_pixel_QC,shoot_only_standardization_scanner_crop,1027,319,RGB,0,0.0,0.9162121658805031,0.9964592817400101,7.361596584320068,0.0,0.0831122248427673,0.06903498427672956,0.8306237067691399,1,0.3220813679245283,1,182.56463732171872,white_removed_candidate,8.123573,1,0.0,0.0,28992,22590,0.7791804635761589,shoot_touches_crop_border
test,test,src_0633,D:\kp\数据集图片\..秧苗素质-扫描系统采集\扫描仪9.5\9.7-5.5\062500004.tif,062500004.tif,..秧苗素质-扫描系统采集\扫描仪9.5\9.7-5.5\062500004.tif,scanner_directory::..秧苗素质-扫描系统采集\扫描仪9.5\9.7-5.5,9.7-5.5,扫描仪9.5,13,horizontal,"[69, 803, 304, 867]","[315, 4606, 1923, 5413]",0.028110211706102117,c8380e0300000060,aa269592cae9e5f0,stagev3_0079,13,18,0,0,V4_scanner_crop_pixel_QC,shoot_only_standardization_scanner_crop,1600,803,RGB,0,0.0,0.9675264469844358,0.991388518024032,11.777206420898438,0.0,0.0316147859922179,0.026431785019455253,0.8360576923076923,2,0.6084630350194552,1,218.85169896115096,white_removed_candidate,8.213524,2,0.01247305647363127,0.01247305647363127,46676,35241,0.7550132830576742,shoot_touches_crop_border
