dataset_id,source_path,source_name,identity_group,stage_label,stage_label_source,stage_label_confidence,quality_tier,background_operation,original_blur,output_blur,output_background_class,output_white_fraction,output_border_white_fraction,output_green_fraction,foreground_fraction_from_normalizer,structural_complexity_score,complexity_bin,source_sha256,output_dhash64,output_path,keypoint_labels_used,manual_keep,manual_stage_confirm,manual_note,output_sha256,split,relative_path,data_role,training_eligible,primary_evaluation_eligible,visual_review_status,visual_review_actor,user_stage_confirmation_pending,component_cleanup,components_before_cleanup,second_to_first_area_ratio_before_cleanup,output_dhash64_full_canvas,output_dhash64_foreground_crop
stagev3_0001,D:\kp\adaptive_keypoint_discovery_reboot\experiment\stage_source_extracted\叶龄-秧苗30张\大于2\leaf3 (117).jpg,leaf3 (117).jpg,stage_archive::gt2::scanner_crop::leaf3 ,gt2,archive_folder,user_metadata,B_mixed_background_standardized,shoot_only_standardization_mixed_background,279.0617859319993,251.2919270833333,white_removed_candidate,0.9438107638888888,0.9986864472260856,0.023828125,0.0477322048611111,,stage_metadata,afed93e0f61bbc1a081368d3707e2039c84a3b894acd699f565587f8f8ee9047,80c04020131e68c0,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v3\images\train\stagev3_0001.png,0,,,,cd298747dbc3bc2b7fec54fe19acdcc78f2f10f9d40260495c9bff95e12b40b0,train,images\train\stagev3_0001.png,primary_stage_verified,1,1,pass_contact_sheet_shoot_integrity_and_background,codex_contact_sheet_review_2026-07-17,0,largest_connected_shoot_component,1,0.0,80c04020131e68c0,80406030011e64c0
stagev3_0002,D:\kp\adaptive_keypoint_discovery_reboot\experiment\stage_source_extracted\叶龄-秧苗30张\大于2\1.jpg,1.jpg,stage_archive::gt2::single::1,gt2,archive_folder,user_metadata,B_mixed_background_standardized,shoot_only_standardization_mixed_background,152.91320234720806,219.36270089437156,white_removed_candidate,0.9651082356770834,1.0,0.0252176920572916,0.0324897766113281,,stage_metadata,e23fe5035bb5a3b5326ba6ecf154d9eaf840eefa2c1a0d8da9225116fe57112c,000000100c5f8000,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v3\images\test\stagev3_0002.png,0,,,,413b7633538a2fa38e25c1d08688e3fc9a6fd55e866a50685ce416095d949d3a,test,images\test\stagev3_0002.png,primary_stage_verified,1,1,pass_contact_sheet_shoot_integrity_and_background,codex_contact_sheet_review_2026-07-17,0,largest_connected_shoot_component,2,0.07719622711300167,000000100c5f8000,1018080c3f40c080
stagev3_0003,D:\kp\adaptive_keypoint_discovery_reboot\experiment\stage_source_extracted\叶龄-秧苗30张\大于2\18-18.jpg,18-18.jpg,stage_archive::gt2::single::18-18,gt2,archive_folder,user_metadata,B_mixed_background_standardized,shoot_only_standardization_mixed_background,495.1126859387279,103.18192323151123,white_removed_candidate,0.9434849778938906,1.0,0.0466614750803858,0.0538018534309791,,stage_metadata,25cc0c108b6e58fb56c955ad572e57a99aef5d39b14440f43cfa161d63e1ca20,6012020604060200,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v3\images\test\stagev3_0003.png,0,,,,1d42906b23587e2a4970fd1618ae9c2d6aa35643b53634920e95d951e197ee3b,test,images\test\stagev3_0003.png,primary_stage_verified,1,1,pass_contact_sheet_shoot_integrity_and_background,codex_contact_sheet_review_2026-07-17,0,largest_connected_shoot_component,2,0.009141954233797015,6012020604060200,6030090503020301
stagev3_0004,D:\kp\adaptive_keypoint_discovery_reboot\experiment\stage_source_extracted\叶龄-秧苗30张\大于2\19-19.jpg,19-19.jpg,stage_archive::gt2::single::19-19,gt2,archive_folder,user_metadata,B_mixed_background_standardized,shoot_only_standardization_mixed_background,488.755237666852,111.73256138392856,white_removed_candidate,0.9331141880580357,1.0,0.0553240094866071,0.0633871895926339,,stage_metadata,64e903ee1dce1a9b0c7fe63782ac330b745baf795ed8348420e5e5bf46858fc5,6038090304040000,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v3\images\test\stagev3_0004.png,0,,,,1bd31b4ada52d4b334f354886ac6b5e105a1d727f8b832256509f60b3316339a,test,images\test\stagev3_0004.png,primary_stage_verified,1,1,pass_contact_sheet_shoot_integrity_and_background,codex_contact_sheet_review_2026-07-17,0,largest_connected_shoot_component,2,0.0069154488517745305,6038090304040000,4030180907040606
stagev3_0005,D:\kp\adaptive_keypoint_discovery_reboot\experiment\stage_source_extracted\叶龄-秧苗30张\大于2\28.jpg,28.jpg,stage_archive::gt2::single::28,gt2,archive_folder,user_metadata,B_mixed_background_standardized,shoot_only_standardization_mixed_background,79.70184143878417,240.46963612360156,white_removed_candidate,0.9725697835286459,1.0,0.0205128987630208,0.0238431294759114,,stage_metadata,d3d24255f9fbc849999b20a2a8eb32650828c5b87fcb6535133c04e2eeebacdb,8000000b1cb02040,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v3\images\train\stagev3_0005.png,0,,,,71c63b61d5aa42941c938fbb95def36f36846d4a93d414262ca65e74c1aae99e,train,images\train\stagev3_0005.png,primary_stage_verified,1,1,pass_contact_sheet_shoot_integrity_and_background,codex_contact_sheet_review_2026-07-17,0,largest_connected_shoot_component,5,0.014577944980014107,8000000b1cb02040,10191e306040c080
stagev3_0006,D:\kp\adaptive_keypoint_discovery_reboot\experiment\stage_source_extracted\叶龄-秧苗30张\大于2\35.jpg,35.jpg,stage_archive::gt2::single::35,gt2,archive_folder,user_metadata,B_mixed_background_standardized,shoot_only_standardization_mixed_background,75.94312608397256,304.34302775065106,white_removed_candidate,0.9750111897786459,0.9991147036181678,0.0184224446614583,0.0249481201171875,,stage_metadata,af4e4fa0793c8bb56e789efbb2ab8f9122bd03f95be077b7e388b237435b0f8f,000000c01a0e1000,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v3\images\train\stagev3_0006.png,0,,,,f277643f471604c91f41f0af1724b180b51a88704f1d6913479d175c54b62eea,train,images\train\stagev3_0006.png,primary_stage_verified,1,1,pass_contact_sheet_shoot_integrity_and_background,codex_contact_sheet_review_2026-07-17,0,largest_connected_shoot_component,3,0.2176163121668478,000000c01a0e1000,80c060300d110c08
stagev3_0007,D:\kp\adaptive_keypoint_discovery_reboot\experiment\stage_source_extracted\叶龄-秧苗30张\大于2\39-39.jpg,39-39.jpg,stage_archive::gt2::single::39-39,gt2,archive_folder,user_metadata,B_mixed_background_standardized,shoot_only_standardization_mixed_background,232.318151764468,63.2475823782235,white_removed_candidate,0.956902534025788,0.9989281426856457,0.0377977256446991,0.0414110000894134,,stage_metadata,9fd476331be92c4ab38932e0ff8b1b574088a726452fd08aa500556f12a23326,080b0c1818180000,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v3\images\train\stagev3_0007.png,0,,,,268fc1b41616b584cc8ef7fc67d601cbc6cd3833c54f73552ea908784bb63b40,train,images\train\stagev3_0007.png,primary_stage_verified,1,1,pass_contact_sheet_shoot_integrity_and_background,codex_contact_sheet_review_2026-07-17,0,largest_connected_shoot_component,1,0.0,080b0c1818180000,20232c3020206060
stagev3_0008,D:\kp\adaptive_keypoint_discovery_reboot\experiment\stage_source_extracted\叶龄-秧苗30张\大于2\42-42.jpg,42-42.jpg,stage_archive::gt2::single::42-42,gt2,archive_folder,user_metadata,B_mixed_background_standardized,shoot_only_standardization_mixed_background,2237.05177068215,581.9661251653439,white_removed_candidate,0.927703373015873,1.0,0.0418526785714285,0.0634584780092592,,stage_metadata,04d98ecda71619ccb8175eed1b6ab6955ff34dc70bb67c42621b28a451f07e69,1c0426140404070a,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v3\images\train\stagev3_0008.png,0,,,,5a54abf009ed32e8137b03f9a5a74b20cb92a83e4fca87dfe2168e89c36eb033,train,images\train\stagev3_0008.png,primary_stage_verified,1,1,pass_contact_sheet_shoot_integrity_and_background,codex_contact_sheet_review_2026-07-17,0,largest_connected_shoot_component,3,0.02446952266169972,1c0426140404070a,361b0d310b030101
stagev3_0009,D:\kp\adaptive_keypoint_discovery_reboot\experiment\stage_source_extracted\叶龄-秧苗30张\大于2\44-44.jpg,44-44.jpg,stage_archive::gt2::single::44-44,gt2,archive_folder,user_metadata,B_mixed_background_standardized,shoot_only_standardization_mixed_background,4035.8473188909534,609.6048221219154,white_removed_candidate,0.9340355282738095,0.9925997425997426,0.0386672247023809,0.0554641135014836,,stage_metadata,27d98f82bf4ead467edfad38f5d2bc3b2d4058cdf43051cd699895ca1028fa95,b11b0c0e0c0c0600,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v3\images\val\stagev3_0009.png,0,,,,db1a3a69df644bfb66f639735baa0f9ac6b28ac8069bb1e9cc975c51ed0db253,val,images\val\stagev3_0009.png,primary_stage_verified,1,1,pass_contact_sheet_shoot_integrity_and_background,codex_contact_sheet_review_2026-07-17,0,largest_connected_shoot_component,2,0.011550500374729974,b11b0c0e0c0c0600,e01b0e0a060c0404
stagev3_0010,D:\kp\adaptive_keypoint_discovery_reboot\experiment\stage_source_extracted\叶龄-秧苗30张\大于2\Camera MV-XGC1207GC#A9FE3BF8-Snapshot-20250725-145354-257-13310498590879.jpg,Camera MV-XGC1207GC#A9FE3BF8-Snapshot-20250725-145354-257-13310498590879.jpg,stage_archive::gt2::single::Camera MV-XGC1207GC#A9FE3BF8-Snapshot-20250725-145354-257-13310498590879,gt2,archive_folder,user_metadata,B_mixed_background_standardized,shoot_only_standardization_mixed_background,53.98964243464999,247.86566026568312,white_removed_candidate,0.9520314534505209,1.0,0.0403900146484375,0.045667012532552,,stage_metadata,652a8d892ad27ef24d4a5af25b17de4ac366b2f1eef379f13f34b0ee17e251b0,30202020301c0701,D:\kp\adaptive_keypoint_discovery_reboot\experiment\data_stage_clean_v3\images\train\stagev3_0010.png,0,,,,2eafd26a1965112cfff56eae4ac7fe5d7f783af3a374e962477b5aa2d81a1536,train,images\train\stagev3_0010.png,primary_stage_verified,1,1,pass_contact_sheet_shoot_integrity_and_background,codex_contact_sheet_review_2026-07-17,0,largest_connected_shoot_component,4,0.03650392443794067,30202020301c0701,10302030300c0700
